Index,Mac Name,Number of macSSID,Frequency,Signal,Lat,Lon,Alt,Time,
20,1c:b9:c4:16:05:38,1,Ariel_University,-75.0,32.10475343,35.21007474,689.0,Sun Dec 03 08:53:42 IST 2017, Approx. w-center algo1
21,1c:b9:c4:16:05:78,1,Ariel_University,-86.0,32.10475343,35.21007474,689.0,Sun Dec 03 08:53:42 IST 2017, Approx. w-center algo1
22,74:ea:3a:ad:d1:50,1,TP-LINK_ADD150,-88.0,32.10475343,35.21007474,689.0,Sun Dec 03 08:53:42 IST 2017, Approx. w-center algo1
23,a2:6c:ac:a0:7b:4d,1,Guest,-71.0,32.10475343,35.21007474,689.0,Sun Dec 03 08:53:42 IST 2017, Approx. w-center algo1
24,c2:6c:ac:a0:7b:4d,1,outsense,-72.0,32.10475343,35.21007474,689.0,Sun Dec 03 08:53:42 IST 2017, Approx. w-center algo1
25,1c:b9:c4:15:25:48,1,Ariel_University,-80.0,32.10466627,35.20990936,687.0,Sun Dec 03 08:53:45 IST 2017, Approx. w-center algo1
26,1c:b9:c4:16:05:78,1,Ariel_University,-80.0,32.10466627,35.20990936,687.0,Sun Dec 03 08:53:45 IST 2017, Approx. w-center algo1
27,1c:b9:c4:96:05:37,1, ,-83.0,32.10466627,35.20990936,687.0,Sun Dec 03 08:53:45 IST 2017, Approx. w-center algo1
28,70:5a:0f:57:04:17,1,DIRECT-B1-HP DeskJet 3830 series,-74.0,32.10466627,35.20990936,687.0,Sun Dec 03 08:53:45 IST 2017, Approx. w-center algo1
29,90:6c:ac:a0:60:4d,1,Guest,-69.0,32.10466627,35.20990936,687.0,Sun Dec 03 08:53:45 IST 2017, Approx. w-center algo1
30,90:6c:ac:a0:7b:4d,1,EVE,-69.0,32.10466627,35.20990936,687.0,Sun Dec 03 08:53:45 IST 2017, Approx. w-center algo1
31,a2:6c:ac:a0:60:4d,1,incentive2,-70.0,32.10466627,35.20990936,687.0,Sun Dec 03 08:53:45 IST 2017, Approx. w-center algo1
32,c2:6c:ac:a0:7b:4d,1,outsense,-67.0,32.10466627,35.20990936,687.0,Sun Dec 03 08:53:45 IST 2017, Approx. w-center algo1
33,1c:b9:c4:15:23:58,1,Ariel_University,-85.0,32.10457483,35.20975804,687.0,Sun Dec 03 08:53:48 IST 2017, Approx. w-center algo1
34,74:ea:3a:ad:d1:50,1,TP-LINK_ADD150,-69.0,32.10457483,35.20975804,687.0,Sun Dec 03 08:53:48 IST 2017, Approx. w-center algo1
35,24:79:2a:2c:5b:d8,1,Ariel_University,-78.0,32.10448173,35.20960715,687.0,Sun Dec 03 08:53:51 IST 2017, Approx. w-center algo1
36,90:6c:ac:9f:f1:c5,1,CliClap,-82.0,32.10448173,35.20960715,687.0,Sun Dec 03 08:53:51 IST 2017, Approx. w-center algo1
37,1c:b9:c4:16:1d:78,1,Ariel_University,-83.0,32.10440239,35.20946023,687.0,Sun Dec 03 08:53:54 IST 2017, Approx. w-center algo1
38,1c:b9:c4:16:cc:d8,1,Ariel_University,-92.0,32.10440239,35.20946023,687.0,Sun Dec 03 08:53:54 IST 2017, Approx. w-center algo1
